dataset,lambda,fold,holdout,mae,trivial_mae_alpha1,mean_predictor_mae,per_storey_mae,localisation_acc,detection_acc,pred_std,final_L_data,final_L_phys_unweighted,final_lam_L_phys,n_train,n_test,wall_clock_s,device
continuous,0.0,k0,100 groups,0.018512237817049026,0.1464,0.1935,"[0.020999999716877937, 0.015399999916553497, 0.02070000022649765, 0.016899999231100082]",0.9288461538461539,0.9915,0.2266,0.0002573832208436215,0.0003251789894129615,0.0,8000,2000,1182.5,mps
continuous,0.01,k0,100 groups,0.018064437434077263,0.1464,0.1935,"[0.019899999722838402, 0.015200000256299973, 0.02019999921321869, 0.016899999231100082]",0.9237179487179488,0.9905,0.2267,0.0002490749887510901,0.0003115167896467028,3.115167896467028e-06,8000,2000,6618.7,mps
continuous,0.1,k0,100 groups,0.017647232860326767,0.1464,0.1935,"[0.02019999921321869, 0.013899999670684338, 0.019700000062584877, 0.016899999231100082]",0.9429487179487179,0.992,0.2271,0.00023743279135669582,0.00030347033533325885,3.0347033533325885e-05,8000,2000,19397.8,mps
continuous,1.0,k0,100 groups,0.01861453801393509,0.1464,0.1935,"[0.01860000006854534, 0.015200000256299973, 0.022299999371170998, 0.018300000578165054]",0.9307692307692308,0.9945,0.2274,0.00028644852734578305,0.00027278295306314246,0.00027278295306314246,8000,2000,8105.4,mps
continuous,0.0,k1,100 groups,0.012546590529382229,0.1308,0.1952,"[0.011300000362098217, 0.01510000042617321, 0.01360000018030405, 0.010200000368058681]",0.928125,0.962,0.2281,0.00028248730802442877,0.0003396280944725731,0.0,8000,2000,7840.7,mps
continuous,0.01,k1,100 groups,0.012352547608315945,0.1308,0.1952,"[0.010300000198185444, 0.014399999752640724, 0.0142000000923872, 0.010499999858438969]",0.930625,0.9625,0.2296,0.00027602851967094467,0.0003343422008911148,3.343422008911148e-06,8000,2000,2534.3,mps
continuous,0.1,k1,100 groups,0.012576705776154995,0.1308,0.1952,"[0.01119999960064888, 0.01510000042617321, 0.013100000098347664, 0.010999999940395355]",0.9475,0.96,0.2294,0.00025893823857768436,0.0003124800478981342,3.124800478981342e-05,8000,2000,3222.1,mps
continuous,1.0,k1,100 groups,0.012346649542450905,0.1308,0.1952,"[0.010099999606609344, 0.01510000042617321, 0.013399999588727951, 0.01080000028014183]",0.94375,0.9605,0.2297,0.0003017731190266204,0.0002767599406215595,0.0002767599406215595,8000,2000,1176.2,mps
continuous,0.0,k2,100 groups,0.016228707507252693,0.1517,0.2023,"[0.01549999974668026, 0.015200000256299973, 0.017999999225139618, 0.016200000420212746]",0.994375,0.993,0.2422,0.0002443017995392438,0.00031828054397192317,0.0,8000,2000,1192.1,mps
continuous,0.01,k2,100 groups,0.017563456669449806,0.1517,0.2023,"[0.016100000590085983, 0.015599999576807022, 0.02070000022649765, 0.017799999564886093]",0.991875,0.993,0.2398,0.00024893086665542794,0.00031701357424026357,3.1701357424026356e-06,8000,2000,1237.1,mps
continuous,0.1,k2,100 groups,0.01657887175679207,0.1517,0.2023,"[0.015699999406933784, 0.015200000256299973, 0.016899999231100082, 0.01850000023841858]",0.98375,0.993,0.2398,0.00024835632702888686,0.00030656460064346905,3.065646006434691e-05,8000,2000,9164.6,mps
continuous,1.0,k2,100 groups,0.017316250130534172,0.1517,0.2023,"[0.01489999983459711, 0.016699999570846558, 0.019099999219179153, 0.01860000006854534]",0.9925,0.992,0.2387,0.00027513441717019304,0.0002667810134298634,0.0002667810134298634,8000,2000,6342.7,mps
continuous,0.0,k3,100 groups,0.01840829849243164,0.159,0.2093,"[0.016499999910593033, 0.020999999716877937, 0.0203000009059906, 0.015699999406933784]",0.9280487804878049,0.988,0.2433,0.0002673837482434465,0.00033552457051700915,0.0,8000,2000,1431.4,mps
continuous,0.01,k3,100 groups,0.01740291155874729,0.159,0.2093,"[0.014100000262260437, 0.01979999989271164, 0.019300000742077827, 0.01640000008046627]",0.9146341463414634,0.982,0.2455,0.00025805633557320106,0.0003212734077096684,3.212734077096684e-06,8000,2000,1411.3,mps
continuous,0.1,k3,100 groups,0.0176184494048357,0.159,0.2093,"[0.016200000420212746, 0.017400000244379044, 0.019999999552965164, 0.017000000923871994]",0.9054878048780488,0.9825,0.2436,0.00024807235451589803,0.0003113048812519992,3.113048812519992e-05,8000,2000,12377.3,mps
continuous,1.0,k3,100 groups,0.017316415905952454,0.159,0.2093,"[0.013299999758601189, 0.01889999955892563, 0.019700000062584877, 0.017400000244379044]",0.9213414634146342,0.984,0.2461,0.00027568675196380354,0.00026564512167533393,0.00026564512167533393,8000,2000,2230.4,mps
