timestamp,mode,status,global_DI,alpha_1,alpha_2,alpha_3,alpha_4,DI_1,DI_2,DI_3,DI_4
2026-07-15 03:22:20,LIVE,CRITICAL,5.2600,0.4740,0.9929,0.9909,0.9901,5.2600,0.0708,0.0907,0.0986
2026-07-15 03:22:25,LIVE,WARNING,4.0601,0.5940,0.9949,0.9914,0.9897,4.0601,0.0514,0.0864,0.1034
2026-07-15 03:22:30,LIVE,HEALTHY,3.0231,0.6977,0.9963,0.9952,0.9926,3.0231,0.0375,0.0482,0.0741
2026-07-15 03:22:35,LIVE,WARNING,3.9076,0.6092,0.9973,0.9958,0.9942,3.9076,0.0266,0.0424,0.0576
2026-07-15 03:22:40,LIVE,HEALTHY,1.8795,0.8121,0.9992,0.9992,0.9981,1.8795,0.0081,0.0083,0.0188
2026-07-15 03:22:45,LIVE,WARNING,4.5563,0.5444,0.9949,0.9903,0.9911,4.5563,0.0510,0.0971,0.0890
2026-07-15 03:22:50,LIVE,HEALTHY,3.0984,0.6902,0.9988,0.9987,0.9976,3.0984,0.0117,0.0127,0.0244
2026-07-15 03:22:55,LIVE,HEALTHY,3.1423,0.6858,0.9972,0.9964,0.9939,3.1423,0.0279,0.0365,0.0613
2026-07-15 03:23:00,LIVE,HEALTHY,2.0532,0.7947,0.9994,0.9990,0.9982,2.0532,0.0065,0.0097,0.0182
2026-07-15 03:23:05,LIVE,HEALTHY,2.1807,0.7819,0.9988,0.9987,0.9973,2.1807,0.0116,0.0126,0.0266
2026-07-15 03:23:10,LIVE,HEALTHY,3.2213,0.6779,0.9991,0.9977,0.9974,3.2213,0.0087,0.0226,0.0258
2026-07-15 03:23:15,LIVE,HEALTHY,3.3651,0.6635,0.9970,0.9968,0.9943,3.3651,0.0301,0.0318,0.0566
