timestamp,mode,status,global_DI,alpha_1,alpha_2,alpha_3,alpha_4,DI_1,DI_2,DI_3,DI_4
2026-07-15 03:23:59,LIVE,WARNING,4.0089,0.5991,0.9980,0.9976,0.9966,4.0089,0.0199,0.0236,0.0335
2026-07-15 03:24:04,LIVE,HEALTHY,1.8840,0.8116,0.9993,0.9994,0.9985,1.8840,0.0065,0.0055,0.0150
2026-07-15 03:24:09,LIVE,HEALTHY,2.2852,0.7715,0.9988,0.9989,0.9975,2.2852,0.0124,0.0110,0.0253
2026-07-15 03:24:14,LIVE,WARNING,4.4187,0.5581,0.9979,0.9968,0.9961,4.4187,0.0211,0.0322,0.0391
2026-07-15 03:24:19,LIVE,HEALTHY,1.3031,0.8697,0.9995,0.9996,0.9986,1.3031,0.0052,0.0042,0.0141
2026-07-15 03:24:24,LIVE,HEALTHY,2.5903,0.7410,0.9985,0.9989,0.9980,2.5903,0.0152,0.0108,0.0196
2026-07-15 03:24:29,LIVE,HEALTHY,3.3181,0.6682,0.9989,0.9988,0.9975,3.3181,0.0111,0.0116,0.0251
2026-07-15 03:24:34,LIVE,HEALTHY,3.2858,0.6714,0.9979,0.9966,0.9956,3.2858,0.0213,0.0340,0.0442
2026-07-15 03:24:39,LIVE,WARNING,4.5607,0.5439,0.9971,0.9973,0.9962,4.5607,0.0291,0.0274,0.0385
2026-07-15 03:24:44,LIVE,WARNING,3.6157,0.6384,0.9981,0.9973,0.9955,3.6157,0.0189,0.0269,0.0447
2026-07-15 03:24:49,LIVE,WARNING,4.3942,0.5606,0.9965,0.9927,0.9929,4.3942,0.0352,0.0726,0.0706
2026-07-15 03:24:54,LIVE,HEALTHY,2.0393,0.7961,0.9994,0.9994,0.9984,2.0393,0.0060,0.0061,0.0156
