timestamp,mode,status,global_DI,alpha_1,alpha_2,alpha_3,alpha_4,DI_1,DI_2,DI_3,DI_4
2026-07-15 03:33:27,LIVE,HEALTHY,2.4499,0.7550,0.9988,0.9989,0.9973,2.4499,0.0124,0.0105,0.0274
2026-07-15 03:33:32,LIVE,HEALTHY,2.2004,0.7800,0.9984,0.9985,0.9966,2.2004,0.0157,0.0152,0.0341
2026-07-15 03:33:37,LIVE,HEALTHY,1.3550,0.8645,0.9995,0.9995,0.9987,1.3550,0.0049,0.0052,0.0131
2026-07-15 03:33:42,LIVE,HEALTHY,2.7619,0.7238,0.9988,0.9987,0.9977,2.7619,0.0124,0.0126,0.0226
2026-07-15 03:33:47,LIVE,HEALTHY,3.3346,0.6665,0.9962,0.9969,0.9947,3.3346,0.0382,0.0311,0.0526
2026-07-15 03:33:52,LIVE,CRITICAL,5.2218,0.4778,0.9963,0.9933,0.9936,5.2218,0.0372,0.0675,0.0641
2026-07-15 03:33:57,LIVE,WARNING,4.0196,0.5980,0.9967,0.9951,0.9941,4.0196,0.0331,0.0488,0.0591
2026-07-15 03:34:02,LIVE,HEALTHY,3.0556,0.6944,0.9966,0.9956,0.9932,3.0556,0.0335,0.0436,0.0682
2026-07-15 03:34:07,LIVE,HEALTHY,3.4269,0.6573,0.9966,0.9967,0.9941,3.4269,0.0344,0.0330,0.0589
2026-07-15 03:34:12,LIVE,WARNING,4.1228,0.5877,0.9944,0.9921,0.9911,4.1228,0.0559,0.0790,0.0890
2026-07-15 03:34:17,LIVE,HEALTHY,3.4690,0.6531,0.9981,0.9968,0.9957,3.4690,0.0191,0.0321,0.0435
2026-07-15 03:34:22,LIVE,HEALTHY,3.2329,0.6767,0.9972,0.9963,0.9945,3.2329,0.0278,0.0372,0.0554
