timestamp,mode,status,global_DI,alpha_1,alpha_2,alpha_3,alpha_4,DI_1,DI_2,DI_3,DI_4
2026-07-15 02:32:18,LIVE,WARNING,3.9126,0.6087,0.9988,0.9977,0.9972,3.9126,0.0123,0.0228,0.0279
2026-07-15 02:32:23,LIVE,HEALTHY,3.4388,0.6561,0.9966,0.9954,0.9920,3.4388,0.0340,0.0459,0.0804
2026-07-15 02:32:28,LIVE,HEALTHY,2.9111,0.7089,0.9978,0.9983,0.9967,2.9111,0.0217,0.0173,0.0332
2026-07-15 02:32:33,LIVE,HEALTHY,1.5807,0.8419,0.9994,0.9993,0.9985,1.5807,0.0058,0.0072,0.0152
2026-07-15 02:32:38,LIVE,HEALTHY,3.0708,0.6929,0.9974,0.9966,0.9946,3.0708,0.0264,0.0336,0.0543
2026-07-15 02:32:43,LIVE,HEALTHY,1.7237,0.8276,0.9995,0.9996,0.9985,1.7237,0.0052,0.0043,0.0154
2026-07-15 02:32:48,LIVE,HEALTHY,1.6451,0.8355,0.9994,0.9994,0.9984,1.6451,0.0061,0.0061,0.0159
2026-07-15 02:32:53,LIVE,WARNING,4.1372,0.5863,0.9970,0.9966,0.9952,4.1372,0.0303,0.0336,0.0483
2026-07-15 02:32:58,LIVE,HEALTHY,2.2457,0.7754,0.9987,0.9987,0.9967,2.2457,0.0128,0.0133,0.0329
2026-07-15 02:33:03,LIVE,HEALTHY,2.6891,0.7311,0.9988,0.9984,0.9972,2.6891,0.0115,0.0160,0.0278
2026-07-15 02:33:08,LIVE,CRITICAL,5.7283,0.4272,0.9967,0.9924,0.9940,5.7283,0.0334,0.0756,0.0600
2026-07-15 02:33:13,LIVE,HEALTHY,2.1362,0.7864,0.9993,0.9991,0.9983,2.1362,0.0074,0.0088,0.0171
