Run ID,Timestamp,Raw Accel File,Alpha (a),DI,Classification,File Naming Convention,Ground Truth Notes
R001,2026-07-15 02:30:03,R001_Floor4_None-NoneBaseline.csv,0.9948,5.0953,CRITICAL,R001_Floor4_None-NoneBaseline.csv,Baseline; Sensor at Floor 4; Damage: None (None (Baseline)); Excitation: constant (see Excitation Params)
R002,2026-07-15 02:31:11,R002_Floor4_None-NoneBaseline.csv,0.9947,6.4692,CRITICAL,R002_Floor4_None-NoneBaseline.csv,Baseline; Sensor at Floor 4; Damage: None (None (Baseline)); Excitation: constant (see Excitation Params)
R003,2026-07-15 02:32:18,R003_Floor4_None-NoneBaseline.csv,0.9964,5.7283,CRITICAL,R003_Floor4_None-NoneBaseline.csv,Baseline; Sensor at Floor 4; Damage: None (None (Baseline)); Excitation: constant (see Excitation Params)
R004,2026-07-15 03:42:29,R004_Floor4_Floor1-Light.csv,0.9968,5.5995,CRITICAL,R004_Floor4_Floor1-Light.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 1 (Light); Excitation: constant (see Excitation Params)
R005,2026-07-15 03:43:36,R005_Floor4_Floor1-Light.csv,0.9994,4.5007,WARNING,R005_Floor4_Floor1-Light.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 1 (Light); Excitation: constant (see Excitation Params)
R006,2026-07-15 03:44:44,R006_Floor4_Floor1-Light.csv,0.9991,5.3538,CRITICAL,R006_Floor4_Floor1-Light.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 1 (Light); Excitation: constant (see Excitation Params)
R007,2026-07-15 03:48:35,R007_Floor4_Floor1-Moderate.csv,0.9991,6.3598,CRITICAL,R007_Floor4_Floor1-Moderate.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 1 (Moderate); Excitation: constant (see Excitation Params)
R008,2026-07-15 03:49:43,R008_Floor4_Floor1-Moderate.csv,0.9997,5.5094,CRITICAL,R008_Floor4_Floor1-Moderate.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 1 (Moderate); Excitation: constant (see Excitation Params)
R009,2026-07-15 03:50:50,R009_Floor4_Floor1-Moderate.csv,0.9992,6.4520,CRITICAL,R009_Floor4_Floor1-Moderate.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 1 (Moderate); Excitation: constant (see Excitation Params)
R010,2026-07-15 03:51:54,R010_Floor4_Floor1-Severe.csv,0.9983,5.9519,CRITICAL,R010_Floor4_Floor1-Severe.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 1 (Severe); Excitation: constant (see Excitation Params)
R011,2026-07-15 03:53:01,R011_Floor4_Floor1-Severe.csv,0.9986,5.9654,CRITICAL,R011_Floor4_Floor1-Severe.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 1 (Severe); Excitation: constant (see Excitation Params)
R012,2026-07-15 03:54:09,R012_Floor4_Floor1-Severe.csv,0.9993,5.1401,CRITICAL,R012_Floor4_Floor1-Severe.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 1 (Severe); Excitation: constant (see Excitation Params)
R013,2026-07-15 02:40:05,R013_Floor4_Floor2-Light.csv,0.9952,5.9285,CRITICAL,R013_Floor4_Floor2-Light.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 2 (Light); Excitation: constant (see Excitation Params)
R014,2026-07-15 02:41:13,R014_Floor4_Floor2-Light.csv,0.9964,5.5065,CRITICAL,R014_Floor4_Floor2-Light.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 2 (Light); Excitation: constant (see Excitation Params)
R015,2026-07-15 02:42:21,R015_Floor4_Floor2-Light.csv,0.9954,5.7215,CRITICAL,R015_Floor4_Floor2-Light.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 2 (Light); Excitation: constant (see Excitation Params)
R016,2026-07-15 02:52:20,R016_Floor4_Floor2-Moderate.csv,0.9967,4.3080,WARNING,R016_Floor4_Floor2-Moderate.csv,Progressive - Single Floor; Sensor at Floor 4; Damage: Floor 2 (Moderate); Excitation: constant (see Excitation Params)
